iter	Passed	Remaining
1573	17888	10524
1574	17897	10511
1575	17905	10497
1576	17913	10484
1577	17921	10471
1578	17929	10458
1579	17938	10445
1580	17946	10431
1581	17954	10418
1582	17962	10405
1583	17970	10391
1584	17978	10378
1585	17986	10365
1586	17994	10352
1587	18002	10339
1588	18011	10326
1589	18019	10312
1590	18027	10299
1591	18034	10286
1592	18042	10272
1593	18050	10259
1594	18058	10246
1595	18066	10233
1596	18074	10219
1597	18082	10206
1598	18090	10193
1599	18099	10180
1600	18107	10167
1601	18115	10154
1602	18123	10141
1603	18131	10128
1604	18139	10115
1605	18148	10102
1606	18155	10089
1607	18164	10076
1608	18172	10063
1609	18180	10050
1610	18189	10037
1611	18197	10024
1612	18204	10011
1613	18213	9998
1614	18221	9984
1615	18233	9974
1616	18245	9963
1617	18253	9950
1618	18261	9937
1619	18269	9924
1620	18277	9911
1621	18285	9898
1622	18293	9884
1623	18300	9871
1624	18308	9858
1625	18319	9846
1626	18327	9833
1627	18334	9820
1628	18342	9807
1629	18349	9794
1630	18357	9781
1631	18365	9767
1632	18373	9754
1633	18381	9741
1634	18388	9728
1635	18396	9715
1636	18403	9702
1637	18411	9689
1638	18419	9676
1639	18426	9662
1640	18434	9649
1641	18441	9636
1642	18449	9623
1643	18457	9610
1644	18465	9597
1645	18473	9584
1646	18481	9571
1647	18488	9558
1648	18496	9545
1649	18504	9532
1650	18512	9519
1651	18520	9506
1652	18527	9493
1653	18535	9480
1654	18543	9467
1655	18551	9454
1656	18558	9441
1657	18566	9428
1658	18574	9415
1659	18583	9403
1660	18591	9391
1661	18599	9378
1662	18607	9365
1663	18616	9352
1664	18624	9340
1665	18632	9327
1666	18640	9314
1667	18649	9302
1668	18657	9289
1669	18665	9276
